N,Size,Grdy,It,Bt1,Bt2,Bt3,Tht
2,8,198300,293900,218900,185000,169200,1819200
2,8,201700,297500,220000,186200,170600,2933600
2,8,204600,301300,221100,187300,172100,3858800
2,8,207500,306000,222300,188800,174100,5048900
2,8,209500,309300,223200,189800,175300,5845100
2,8,211700,312600,224200,197400,178400,6537300
2,8,213800,315600,225200,198300,179700,7200300
2,8,217200,320300,226200,199400,181000,7943400
2,8,219200,323600,227100,200400,182300,10798200
2,8,221400,327200,228100,201400,183800,11600900
4,8,2400,5600,1300,1700,2200,1753100
4,8,4700,10900,2600,3200,4200,3359500
4,8,7500,18400,4300,5600,7400,4905100
4,8,9600,23800,5600,7100,9500,6593200
4,8,12900,29700,7200,8800,11900,8609600
4,8,15600,35300,8500,10400,13900,10215000
4,8,21200,42700,10200,12300,16000,12290800
4,8,24000,48600,11400,13900,18200,13894200
4,8,27700,56900,13900,15800,20600,15643600
4,8,30400,64700,15800,18200,23900,17007300
8,8,2700,30200,12000,8500,27700,1815600
8,8,7300,101000,22100,14000,34600,3678500
8,8,10900,133300,23400,15900,38500,5757600
8,8,14300,199800,25700,17900,41900,8515900
8,8,16800,240500,27000,20700,44600,9837400
8,8,20600,276100,28400,22300,49100,11157400
8,8,22800,311900,29800,23900,52400,12719300
8,8,25800,358000,31700,26400,56400,14015400
8,8,28400,395400,35100,28300,58800,15519800
8,8,31300,437900,36900,31000,62600,17122100
16,8,5500,223400,5700,7700,13100,1698500
16,8,10400,382200,10200,12400,21300,3208100
16,8,14200,530600,14800,17000,29900,4752600
16,8,17200,672100,18800,21400,38000,6339600
16,8,34800,862200,41500,26600,48500,8083600
16,8,37800,1013100,44800,30700,56400,9498300
16,8,40500,1168300,53500,49800,69200,11055200
16,8,43800,1325200,55600,54400,77100,12610400
16,8,48100,1493400,57500,64300,85500,14201100
16,8,51700,1635200,59400,67000,95200,15724900
32,8,7200,1953800,40600,54900,280600,1621700
32,8,12500,2748600,76000,107000,379900,3200000
32,8,17300,3154800,117000,160500,461000,4934700
32,8,20900,3524000,154000,214300,541300,6743300
32,8,24900,3899200,194700,267800,621200,8318600
32,8,31000,4197000,242100,321900,702200,9650900
32,8,34500,4622300,282300,375700,783100,11123500
32,8,39000,4928700,323700,435800,864300,12618600
32,8,44600,5236900,364600,489200,945000,13876600
32,8,47800,5559200,404900,542600,1026000,15247900
64,8,19600,7112500,952300,1421000,2090300,2062100
64,8,24600,14204300,1907700,2838600,7949600,4456200
64,8,29300,20630300,2880400,4290500,10018300,6774300
64,8,35300,27771500,3814500,5636600,11980900,9012800
64,8,47000,34393900,4714100,6940400,14171700,11693800
64,8,51600,41051800,5531200,8205800,16045200,14567900
64,8,58500,47827200,6424300,9525300,17861800,17476600
64,8,63200,54381700,7370200,10794400,19700300,19807900
64,8,68200,60780700,8186600,12028300,21560300,22266200
64,8,72200,67220800,9041900,13312800,23369700,25076500
128,8,22400,273758600,39771100,64410700,90514800,25141300
128,8,28600,544159600,79962400,123054400,180881900,53793500
128,8,33900,812949100,122942500,185971300,275201400,75441200
128,8,41100,1086154600,163548600,247194200,362976200,98558700
128,8,50300,1356970900,203760600,309156700,455466300,120725300
128,8,55900,1632077500,244066900,368547500,543313700,142707300
128,8,61900,1908056300,284309200,428933400,641379100,165672300
128,8,69300,2177779900,328568500,491403100,733584300,191935600
128,8,75500,2460181100,385437700,552586600,824001900,216574300
128,8,82200,2727228000,427463400,614126100,918154500,239230600
256,8,30300,105789537000,17494413500,51242465600,71926703500,20586662400
